transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,totalValue,feeInLink,feeInUSD,feeInSol,blockTimestamp
0x0839ab33b4c6e63196b56cff71c8346b8c055fdc14c834447b3aac2e5432b48e,0x2298d44cfda0ceafe7f5ef5fd587b67d7b9b1fbb,ethereum-mainnet,ethereum-mainnet-base-1,0x8236a87084f8b84306f72007f36f2618a5634494,LBTC,90000,0.0009,111169,100.05,0.021242055427513805,0.50,,2025-08-27T00:00:23
0x1ff4d622999addb1bb367345ecdeb9664612a54615cf375d4cb88999dbc3b9e2,0x099f52b74dfe2435a93b74872dd695eae80e57e2,ethereum-mainnet,polygon-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1100000,1.1,0.999906,1.10,0.021185305349164799,0.50,,2025-08-27T00:03:11
0xcd767deb652c9efff219bff0e50d5c8dbac93768e1f9c11316954e441182cad6,0x9c2ef07d637698157c82d680334df2413a550515,ethereum-mainnet,ethereum-mainnet-base-1,0xdbb5cf12408a3ac17d668037ce289f9ea75439d7,WMTX,20937000000,20937,0.171275,3585.98,0.021161255395962648,0.50,,2025-08-27T00:13:11
0x7d3415fe76ac44c89661db341f230905ed2404728dfce26b55bee2fb3f62e643,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,595000000000000000,0.595,4498.7,2676.73,0.021220813117194752,0.50,,2025-08-27T00:25:59
0xf9b53611637ebf6ba71f4616cc11ca57dac89c8cb555f6637f085f81e245fa96,0xee9ca24fb62bfc021e1a46e09e1c1cbecd3341b5,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,tETH,5161335050433000000,5.161335050433,5458.27,28171.96,0.022302715884979132,0.53,,2025-08-27T00:41:11
0x914cc39cb03d70214c25061d769088ebf45fbadd7e27ccd7794e1c3adea0196c,0xe10749ac686698d14de072df72e040797a20c2ae,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,379597000000000000000000,379597,1,379597.00,0.022731186617053548,0.54,,2025-08-27T00:42:23
0x15544bc905e28d53734c0650f6cc1caa6a59247ce5283e29b35b2e90af1e9a8f,0x0511e7772b4ee58d0504f06e726cad8b8bbfead3,ethereum-mainnet,ethereum-mainnet-base-1,0xdbb5cf12408a3ac17d668037ce289f9ea75439d7,WMTX,9970000,9.97,0.171275,1.71,0.021161255395962648,0.50,,2025-08-27T00:52:23
0xba5f633b7fc112a4956b5ee78589a7901ce368afc11f956b8bd8fc508f6749e3,0xdd28e1ca708165e2e8e721b42c0840ad139fa1f2,ethereum-mainnet,wemix-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,3994030970,3994.03097,0.999906,3993.66,0.022447746588112345,0.53,,2025-08-27T01:37:23
0x23ecd8a149baa1e7106d0acd6c3acf83785d8d59ee97062ed1cbcbe613583b80,0x0c220bf3bbfb3714e4913d41212d349c92d36cb6,ethereum-mainnet,ethereum-mainnet-base-1,0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,uniBTC,190000000,1.9,110495,209940.50,0.021164810134974288,0.50,,2025-08-27T01:53:59
0x85e07056d4e236ad4e41150ec36cb49d3947527bd13b9bf91e496b4f6f3d9b20,0x0c220bf3bbfb3714e4913d41212d349c92d36cb6,ethereum-mainnet,ethereum-mainnet-base-1,0x2ec37d45fcae65d9787ecf71dc85a444968f6646,brBTC,190000000,1.9,116166,220715.40,0.021162951761092001,0.50,,2025-08-27T01:54:35
0x388fa1b9717335c57dd39c526f2d07b5c6e1c33bac6cf00381a6718092c2808c,0xafd24a2f5fe62a81e9a5d3aef0e3620737dbe22f,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,250038000000000000000000,250038,1,250038.00,0.022721087002623083,0.54,,2025-08-27T02:07:11
0x20eb1c50fe8f62d19f282e30dc1923b4a031dbc7961b4f97813f6328657bc735,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,ethereum-mainnet-base-1,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,PAAL,4861618629000,0.000004861618629,0.092912,0.00,0.021237286716383447,0.50,,2025-08-27T02:14:47
0x7e13f08dc82b0d0f55bc3725fac69be51f0895e71456ac65f834028445c62de2,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,berachain-mainnet,0x0f81001ef0a83ecce5ccebf63eb302c70a39a654,DOLO,8993849392000000000000,8993.849392,0.220944,1987.14,0.021025592375867139,0.50,,2025-08-27T02:21:23
0xab5aaf74b34e94ac78237b88d77d6979d210dbfa02071b4fd20847995312fba1,0x742488f4eaa4dde04fb42a531292173c9a30d741,ethereum-mainnet,ronin-mainnet,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,888000000,888,0.999906,887.92,0.021219139148365825,0.50,,2025-08-27T02:34:23
0x98ccc81de162d97163aeab485fef307803c9324d240c1ae30fd313bf1c5522a2,0xafd24a2f5fe62a81e9a5d3aef0e3620737dbe22f,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,251449000000000000000000,251449,1,251449.00,0.022721087002623083,0.54,,2025-08-27T02:36:59
0x22996988d2982fca95ee10be48e33e1d9e71c45c2a378e28ce2e05ed09f0fe63,0x92b8edaeba4146c5753a398c56218d50a0ab3cc3,ethereum-mainnet,sonic-mainnet,0xdd4c6fd31ccf66e250790643947675153c221a91,xSILO,3316682810504902472635,3316.682810504902472635,0.02228417,73.91,0.021553187436677196,0.51,,2025-08-27T02:37:11
0x7ad7cc523636de652d42a92409db7c6db1bcb17c71624dfab63f788d45f8092b,0x50f41045b5ddec5b7cd2d0712d679cf320b6d6dd,ethereum-mainnet,polkadot-mainnet-astar,0xf27441230eadeac85b764610325cc9a0d7859689,WASTR,409693529000000000000000,409693.529,0.02435218,9976.93,0.022288666975648349,0.53,,2025-08-27T02:47:11
0xe99ac12278c3bc8f415dc4546e656ff0b312b745b304e7b5396afa777d0a2f60,0xf79c7c3db2ad999313a5ca421845a5bbf14c3c8f,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,10075000000000000000000,10075,1,10075.00,0.022490749546861609,0.53,,2025-08-27T02:51:59
0x59f602eae56591e0238a207f53db15596c7dba2a0d2e78c1b0eff41418b5821a,0xafd24a2f5fe62a81e9a5d3aef0e3620737dbe22f,ethereum-mainnet,binance_smart_chain-mainnet,0xfa2b947eec368f42195f24f36d2af29f7c24cec2,USDf,250049000000000000000000,250049,1,250049.00,0.022490749546861609,0.53,,2025-08-27T02:57:35
0x7ab8192c53e2090885c5297dc32301c9b60429159d6c1d716e4a6a5407125cc0,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,12255280000000000,0.01225528,4498.7,55.13,0.021004293347588635,0.50,,2025-08-27T03:00:59
0xfd573843173e2c87ea6ce45c7ef3b1fdc5ee83caca4f588e795de9cc44b99541,0x299814301fa24bc1611b550c2ce1188eb355b6d2,ethereum-mainnet,ethereum-mainnet-base-1,0xdbb5cf12408a3ac17d668037ce289f9ea75439d7,WMTX,10000000,10,0.171275,1.71,0.021009596426730004,0.50,,2025-08-27T03:21:59
