transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,value,feeInLink,feeInSol,feeInW0G,feeInUSD,blockTimestamp
0xfa202e02885ecc3925e815a22d06dc7892c80874e597cc4f76f43a5e0a07f8f1,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,66459600000000000000,66.459600000000000000,4488.869989319061,298328.50,0.022929356285829105,,,0.51,2025-10-04T00:02:47
0xc1ef0f525d43e753f435631d52e78f4f62cc195832a0df2291511905fb6e6de8,0x0aaa9bc932ad57c8c8ca9a7ff0b56336a0786e8c,ethereum-mainnet,ronin-mainnet,0x7616113782aadab041d7b10d474f8a0c04eff258,VEE,215598764570179951711883,215598.764570179951711883,,,0.022929094481723096,,,0.51,2025-10-04T00:28:59
0x3d5f2d70c3e91711bc4bac21243ff0ecacff09f3b192d4692dd2c0b6b93c091f,0xed42a7d8559a463722ca4bed50e0cc05a386b0e1,ethereum-mainnet,polygon-mainnet,,,,,,,0.020433186632891499,,,0.45,2025-10-04T00:30:11
0x1af9e9d856f7881cbe7da272912c1b84974a658c9715c4fe6a5b49ec109c6907,0xed42a7d8559a463722ca4bed50e0cc05a386b0e1,ethereum-mainnet,polygon-mainnet,,,,,,,0.020433186632891499,,,0.45,2025-10-04T00:39:11
0xb11738a193b9e997fb3868981338efd389a84eea4beb3028445f64b6265682b2,0xed42a7d8559a463722ca4bed50e0cc05a386b0e1,ethereum-mainnet,polygon-mainnet,,,,,,,0.020433186632891499,,,0.45,2025-10-04T00:41:59
0x01b2b8d18572f9fcbfe1e57d57a2c104d95bdd63a20be5726867070e175a8014,0x28759d821aaa199956c279077eb43350f481c71c,ethereum-mainnet,berachain-mainnet,0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,uniBTC,3000715,0.03000715,121753.92104299586,3653.49,0.022729764803516253,,,0.50,2025-10-04T00:55:23
0x5b014ac41f8326a0934a924c68b8875992eeabcda4ee5dded80c431002909df3,0x20ea2f2ecf36bcb6df086d923a120496dc616f76,ethereum-mainnet,ethereum-mainnet-base-1,,,,,,,0.023002245517857615,,,0.51,2025-10-04T00:56:59
0xd1f85fe2eea0a01d4b4839566af3b358ed76efa3cd77ec66420f80ac7e1f487f,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,ethereum-mainnet-base-1,0x514910771af9ca656af840dff83e8264ecf986ca,LINK,300772411000000000000,300.772411000000000000,22.029769303409047,6625.95,0.023018437865185298,,,0.51,2025-10-04T01:06:23
0x69097a55fadffd381e96b8e585521af042d11300637064216a19788401a439fa,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,45000000000000000,0.045000000000000000,4488.869989319061,202.00,0.022933043286107440,,,0.51,2025-10-04T01:15:23
0xe29c0d21864f6c422f3e2a8999b4e2737690499b3fff7c37a108aa601a92d21c,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,38735754399206587,0.038735754399206587,4488.869989319061,173.88,0.024504565236549938,,,0.54,2025-10-04T01:30:47
