transactionHash,sender,sourceNetworkName,destNetworkName,token,tokenName,amount,amountFormatted,price,totalValue,feeInLink,feeInUSD,feeInSol,blockTimestamp
0xe6ed1f97a7113302a334d6bd3f49412dadfb003bd2b151884056257d9a6cb9bf,0x1980475c3a279935ca611c9a41f17974ebc2e050,ethereum-mainnet,ethereum-mainnet-arbitrum-1,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,GHO,200109712564475003889609,200109.7126,0.998736,199856.77,0.02210984869,0.57,,2025-08-17 0:03:11
0x96d77331ae4eaa89563dbe83d7e8cd74e394ce5622e509f2d58db9238ea7f4e5,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.02222242247,0.57,,2025-08-17 0:13:47
0xd5ebf3211e169a35e7a7093cc81fb3850608cef087253448d75e6c602aa29596,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.02222242247,0.57,,2025-08-17 0:21:35
0x1992ac1b04b3446c8fca60c376e5b49d0f54987f6a2766f73c3e548a105ea2ed,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.02222242247,0.57,,2025-08-17 0:33:35
0x313a7e0eec41c3f006eaa653fc97d35189924e9a066e7c55732749ed8894fd0e,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.02222242247,0.57,,2025-08-17 0:44:47
0xcb5e9db987813fb331d4b82201bd928d4c02b973c82fd43cdc79823cd2ff0055,0x04ce218ead72401702dd5f3e56cedb7d2d477777,ethereum-mainnet,avalanche-mainnet,0xa19f5264f7d7be11c451c093d8f92592820bea86,BYTES,464804013668764949456,464.8040137,2.68,1245.67,0.02119371981,0.54,,2025-08-17 0:48:59
0xaee941b3db997ccc0ba35f68ebdcba6758158d88faf21879e17a1306b356f9a5,0x771d10d0c86e26ea8d3b778ad4d31b30533b9cbf,ethereum-mainnet,binance_smart_chain-mainnet,,,,,,,0.02222242247,0.57,,2025-08-17 0:52:47
0x76ba8e3931989a210de243e88a0f65e5e5c129c7c19d987536e1df1d2c68b599,0x1d15024c9d51dd9aae2a890f4187775c1ec4ec58,ethereum-mainnet,binance_smart_chain-mainnet,0x14fee680690900ba0cccfc76ad70fd1b95d10e16,PAAL,3810268124981,0.000003810268125,0.110383,0,0.02324283733,0.6,,2025-08-17 0:53:59
0xdd29e8580af73b226d9068b3c301888177a7f2fcae3243af0e6aeff787f92fcc,0xca74f404e0c7bfa35b13b511097df966d5a65597,ethereum-mainnet,avalanche-mainnet,0xa19f5264f7d7be11c451c093d8f92592820bea86,BYTES,3.23238E+20,323.237554,2.68,866.28,0.02141059447,0.55,,2025-08-17 1:16:11
0xd288729903ab3e42837bada7e71daddf508ec26e2a955abc91e3294b2d94aec9,0x66598216d8e4d9afe0f06d525b335b762229842f,ethereum-mainnet,ronin-mainnet,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3E+15,0.003,4484.36,13.45,0.02097488071,0.54,,2025-08-17 1:29:11
